"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21","547.00","487.25","553.75","479.50","4.29M","13.02%"
"Dec 20","484.00","420.00","485.75","409.00","1.65M","15.31%"
"Nov 20","419.75","396.00","430.50","393.00","3.53M","5.33%"
"Oct 20","398.50","379.00","422.25","377.25","4.51M","5.15%"
"Sep 20","379.00","347.75","382.75","343.25","2.13M","8.75%"
"Aug 20","348.50","315.00","353.00","307.25","2.75M","10.28%"
"Jul 20","316.00","338.50","356.50","314.50","1.45M","-6.65%"
"Jun 20","338.50","325.50","342.00","313.50","4.08M","3.91%"
"May 20","325.75","311.00","330.75","305.50","1.37M","4.57%"
"Apr 20","311.50","341.25","343.25","300.25","2.91M","-8.58%"
"Mar 20","340.75","366.50","388.50","332.00","2.00M","-7.03%"
"Feb 20","366.50","380.50","385.00","361.75","3.51M","-3.87%"
"Jan 20","381.25","387.75","394.00","375.25","3.60M","-1.68%"
"Dec 19","387.75","371.75","392.00","357.00","1.11M","4.44%"
"Nov 19","371.25","389.25","391.75","362.25","3.79M","-4.81%"
"Oct 19","390.00","386.75","402.50","378.25","3.65M","0.52%"
"Sep 19","388.00","358.75","388.25","340.00","1.65M","8.38%"
"Aug 19","358.00","401.75","417.00","355.25","3.08M","-10.56%"
"Jul 19","400.25","424.25","460.00","400.00","1.69M","-4.76%"
"Jun 19","420.25","426.25","464.25","407.00","4.83M","-1.58%"
"May 19","427.00","353.50","438.00","335.50","4.19M","20.88%"
"Apr 19","353.25","356.50","366.25","342.25","3.98M","-0.91%"
"Mar 19","356.50","361.75","380.75","352.75","2.10M","-1.52%"
"Feb 19","362.00","376.50","381.75","361.25","4.41M","-3.85%"
"Jan 19","376.50","375.25","384.50","371.00","3.42M","0.40%"
"Dec 18","375.00","372.75","386.50","369.25","1.13M","2.32%"
"Nov 18","366.50","363.25","379.00","355.25","4.35M","0.89%"
"Oct 18","363.25","356.75","378.50","356.50","3.82M","1.96%"
"Sep 18","356.25","351.50","366.75","337.00","1.76M","1.50%"
"Aug 18","351.00","372.00","373.75","340.25","2.70M","-5.71%"
